a,b,c,n1,n2thick,max_vm
150.88,150.88,452.65,0.7,0.95,1.91,230.70588684082
150.23,150.23,450.68,0.7,0.9,1.902,391.720825195312
149.56,149.56,448.69,0.7,0.85,1.893,553.43896484375
148.89,148.89,446.67,0.7,0.8,1.885,713.793395996094
148.21,148.21,444.62,0.7,0.75,1.876,876.904052734375
147.51,147.51,442.54,0.7,0.7,1.867,1042.21813964844
146.81,146.81,440.43,0.7,0.65,1.858,1210.18371582031
146.09,146.09,438.28,0.7,0.6,1.849,1380.99633789062
149.41,149.41,448.22,0.65,1.0,1.891,167.12451171875
148.81,148.81,446.42,0.65,0.95,1.884,246.689376831055
148.2,148.2,444.59,0.65,0.9,1.876,422.986145019531
147.58,147.58,442.74,0.65,0.85,1.868,599.795471191406
146.95,146.95,440.86,0.65,0.8,1.86,775.755554199219
146.32,146.32,438.95,0.65,0.75,1.852,954.415466308594
145.67,145.67,437.01,0.65,0.7,1.844,1135.52282714844
145.01,145.01,435.04,0.65,0.65,1.836,1319.27526855469
144.35,144.35,433.04,0.65,0.6,1.827,1506.87048339844
147.42,147.42,442.26,0.6,1.0,1.866,226.95166015625
146.87,146.87,440.6,0.6,0.95,1.859,262.998199462891
146.3,146.3,438.9,0.6,0.9,1.852,454.416351318359
145.73,145.73,437.19,0.6,0.85,1.845,646.034240722656
145.15,145.15,435.44,0.6,0.8,1.837,837.128845214844
144.56,144.56,433.67,0.6,0.75,1.83,1030.36755371094
143.96,143.96,431.87,0.6,0.7,1.822,1226.91516113281
143.35,143.35,430.05,0.6,0.65,1.815,1424.87841796875
142.73,142.73,428.19,0.6,0.6,1.807,1639.16882324219
