a_mm;b_mm;c_mm;t_mm;n1;n2;Q_total;h_eq;T3;T2;T1
66.99;334.94;334.94;1.417;0.4;0.4;0.8591788628111794;2.851814993927058e-09;299.95313088901366;299.95309981613235;20.00002544488957
70.4;352.0;352.0;1.489;0.6;0.6;0.8496788533410841;2.8553444225391517e-09;299.9525114567053;299.9524800156906;20.000026753362906
75.55;377.74;377.74;1.598;0.8;0.8;0.8800847112677732;2.856237785874265e-09;299.9518418289105;299.95180999245855;20.00002870205357
79.42;238.27;397.12;1.532;0.4;0.4;0.7868482127384806;2.868702914655527e-09;299.95335427056256;299.9533233289501;20.000027712898405
79.42;397.12;238.27;1.532;0.4;0.4;0.7872621612231174;2.868655179669722e-09;299.9533571707128;299.9533262308515;20.00002771259904
82.45;412.26;412.26;1.744;1.0;1.0;0.9439551941679218;2.855147822144507e-09;299.9511780691717;299.9511458428596;20.0000312927622
83.47;250.41;417.34;1.61;0.6;0.6;0.7729737559968183;2.872834780244221e-09;299.9527718674459;299.95274057965554;20.000029147948986
83.47;417.34;250.41;1.61;0.6;0.6;0.7730671547045098;2.8728234875464306e-09;299.95277268385604;299.95274139655584;20.00002914788332
86.27;431.33;258.8;1.664;0.7;0.7;0.7800332469440323;2.8735886533372794e-09;299.95245537802134;299.9524239030952;20.000030124060117
86.67;433.36;260.02;1.672;0.7;0.75;0.7808017234703043;2.873721142144894e-09;299.952389696637;299.95235818283834;20.000030267544954
87.07;435.36;261.21;1.68;0.7;0.8;0.781668303336835;2.8738367910469386e-09;299.95232433574046;299.9522927832744;20.00003041082757
87.42;437.11;262.27;1.687;0.75;0.7;0.7852977206123324;2.8735985899419532e-09;299.9523597057976;299.9523281745213;20.000030538664262
87.47;437.33;262.4;1.687;0.7;0.85;0.7826796449292548;2.8739307542406544e-09;299.95225916373386;299.9522275727285;20.000030535550767
87.85;439.27;263.56;1.695;0.7;0.9;0.7837251626973261;2.874015246582434e-09;299.95219457932046;299.9521629501371;20.000030678461126
87.86;439.28;263.57;1.695;0.75;0.75;0.7864605404553636;2.8736954873266243e-09;299.9522936143643;299.95226204400365;20.00003068162398
88.24;441.18;264.71;1.702;0.7;0.95;0.7848945371711273;2.8740808847726194e-09;299.95213048675384;299.95209881969976;20.000030802866
88.28;441.41;264.85;1.703;0.75;0.8;0.7876889582020095;2.873777954355393e-09;299.952227877482;299.95219626826065;20.000030824402543
88.61;443.07;265.84;1.71;0.7;1.0;0.7861330457992141;2.8741347601457827e-09;299.9520670841127;299.9520353796104;20.0000309454316
88.66;443.28;265.97;1.71;0.8;0.7;0.7915724925887673;2.87352444402191e-09;299.9522633450551;299.952231757086;20.000030952080145
88.7;443.52;266.11;1.711;0.75;0.85;0.7890385772281026;2.873842928593023e-09;299.9521624577073;299.9521308098286;20.000030966962985
89.12;445.59;267.35;1.719;0.8;0.75;0.7930814621569827;2.873591435428598e-09;299.9521969986024;299.9521653714266;20.000031112862025
89.12;445.6;267.36;1.719;0.75;0.9;0.7905056523785382;2.8738898591708272e-09;299.9520974349843;299.9520657486987;20.000031109302668
89.53;447.65;268.59;1.727;0.75;0.95;0.7920417526549894;2.8739241046305815e-09;299.9520330330546;299.95200130874366;20.000031251494065
89.57;268.72;447.86;1.728;0.8;0.8;0.7946803496343638;2.8736420144274115e-09;299.9521306850759;299.9520990187264;20.000031273406808
89.57;447.86;268.72;1.728;0.8;0.8;0.7947026776426237;2.8736394490500995e-09;299.95213090265804;299.95209923643847;20.000031273393493
89.93;449.67;269.8;1.735;0.75;1.0;0.7936462790517891;2.8739458937325273e-09;299.95196936830735;299.9519376064214;20.000031393546777
89.97;449.84;269.91;1.736;0.85;0.7;0.7988445109517064;2.8733699477540875e-09;299.9521665201515;299.9521348752761;20.00003141919687
90.02;450.11;270.07;1.737;0.8;0.85;0.7964464782731555;2.8736702571911597e-09;299.952065143184;299.9520334381352;20.00003143369804
90.46;452.29;271.38;1.745;0.85;0.75;0.8007265215220347;2.8734050419293274e-09;299.9520999192583;299.952068235054;20.000031579455737
90.47;452.33;271.4;1.745;0.8;0.9;0.7982795790376462;2.8736864998047113e-09;299.95199989393916;299.95196815037764;20.000031575531718
90.9;454.51;272.71;1.754;0.8;0.95;0.8001552624143402;2.8736920069607923e-09;299.9519353169276;299.95190353526397;20.000031735517297
90.94;454.71;272.83;1.755;0.85;0.8;0.8027209527696773;2.8734228493857806e-09;299.95203361096156;299.9520018876162;20.000031757765193
91.33;456.67;274.0;1.762;0.8;1.0;0.8021312172264053;2.873683384756087e-09;299.9518714418174;299.95183962248166;20.000031877054916
91.36;456.8;274.08;1.763;0.9;0.7;0.8071033815238305;2.873140385969973e-09;299.9520695502003;299.95203784839094;20.000031903440217
91.42;457.1;274.26;1.764;0.85;0.85;0.8048175785650298;2.8734249102303912e-09;299.95196770760947;299.951935945377;20.00003191757233
91.88;459.4;275.64;1.773;0.9;0.75;0.8093688485285334;2.873144706091356e-09;299.95200274292716;299.9519710016946;20.000032081455824
91.89;459.45;275.67;1.773;0.85;0.9;0.8069766223873185;2.8734144618169633e-09;299.95190236680475;299.95187056603123;20.000032077213078
92.36;461.78;277.07;1.782;0.85;0.95;0.8092687161441604;2.873386800875114e-09;299.95183752949146;299.9518056904899;20.000032236628286
92.39;461.96;277.18;1.782;0.9;0.8;0.811720827256174;2.873133827571007e-09;299.95193630410967;299.9519045236853;20.00003224096825
92.82;464.08;278.45;1.791;0.85;1.0;0.8116347249359498;2.8733470725970615e-09;299.951773447717;299.9517415709477;20.000032395893246
92.83;464.16;278.5;1.791;0.95;0.7;0.816386180036645;2.8728352569074978e-09;299.95197254702816;299.9519407883203;20.000032404754265
92.9;464.49;278.69;1.792;0.9;0.85;0.8141652489297484;2.873108778912325e-09;299.9518703366308;299.95183851730746;20.000032418563716
93.38;466.9;280.14;1.802;0.95;0.75;0.8189840633747598;2.8728140925469896e-09;299.95190575066533;299.9518739525662;20.0000326005728
93.4;466.99;280.19;1.802;0.9;0.9;0.8167144369222588;2.873068532995443e-09;299.95180482088244;299.9517729629411;20.000032595940425
93.89;469.46;281.67;1.811;0.9;0.95;0.8193354720717115;2.8730167132986293e-09;299.9517399567431;299.95170806058223;20.000032754882504
93.92;469.61;281.77;1.812;0.95;0.8;0.8217104275306563;2.8727751747194474e-09;299.95183921203756;299.95180737471355;20.000032777840392
94.17;282.5;282.5;1.67;0.4;0.4;0.7080484954177918;2.8563423708826543e-09;299.95373184922863;299.9537011303763;20.00003013494421
94.38;471.9;283.14;1.821;0.9;1.0;0.8220816519895826;2.8729482961197793e-09;299.9516757547703;299.9516438207958;20.0000329318773
94.38;471.92;283.15;1.821;1.0;0.7;0.826642861265007;2.8724634419946967e-09;299.9518759248171;299.9518441094867;20.000032941494013
94.46;472.29;283.37;1.822;0.95;0.85;0.8245257588052407;2.872723012991251e-09;299.95177316465004;299.95174128840523;20.0000329549108
94.96;474.82;284.89;1.832;1.0;0.75;0.8296354114711293;2.8724139480966136e-09;299.9518090101184;299.9517771553523;20.000033136760912
