a_mm;b_mm;c_mm;t_mm;n1;n2;a_ratio;b_ratio;c_ratio;V_outer_mm3;max_vm;PackingEff;Q_total;BOR
66.99;334.94;334.94;1.417;0.4;0.4;1;5;5;60449600;14976.01;0.9763419707;0.8591788628;4.063200823
70.4;352;352;1.489;0.6;0.6;1;5;5;60449600;6305.5;0.841180496;0.8496788533;4.018273686
75.55;377.74;377.74;1.598;0.8;0.8;1;5;5;60449600;2405.986816;0.6806534849;0.8800847113;4.162068083
79.42;238.27;397.12;1.532;0.4;0.4;1;3;5;60449600;9446.62;0.9764030187;0.7868482127;3.721137057
79.42;397.12;238.27;1.532;0.4;0.4;1;5;3;60449600;9466.67;0.9764030187;0.7872621612;3.723094689
82.45;412.26;412.26;1.744;1;1;1;5;5;60449600;3021.505;0.5236163838;0.9439551942;4.4641223
83.47;250.41;417.34;1.61;0.6;0.6;1;3;5;60449600;4441.3;0.8411602884;0.772973756;3.655522426
83.47;417.34;250.41;1.61;0.6;0.6;1;5;3;60449600;4438.57;0.8411602884;0.7730671547;3.655964124
86.27;431.33;258.8;1.664;0.7;0.7;1;5;3;60449600;2765.329834;0.7619334342;0.7800332469;3.688907942
86.67;433.36;260.02;1.672;0.7;0.75;1;5;3;60449600;2443.843506;0.7513193379;0.7808017235;3.692542196
87.07;435.36;261.21;1.68;0.7;0.8;1;5;3;60449600;2146.950928;0.7410368907;0.7816683033;3.696640398
87.42;437.11;262.27;1.687;0.75;0.7;1;5;3;60449600;2395.355469;0.7321411021;0.7852977206;3.71380452
87.47;437.33;262.4;1.687;0.7;0.85;1;5;3;60449600;1849.955688;0.7310038041;0.7826796449;3.701423201
87.85;439.27;263.56;1.695;0.7;0.9;1;5;3;60449600;1571.25415;0.7214303427;0.7837251627;3.70636763
87.86;439.28;263.57;1.695;0.75;0.75;1;5;3;60449600;2138.759766;0.7213062344;0.7864605405;3.71930369
88.24;441.18;264.71;1.702;0.7;0.95;1;5;3;60449600;1321.751099;0.7120313103;0.7848945372;3.711897798
88.28;441.41;264.85;1.703;0.75;0.8;1;5;3;60449600;1890.139893;0.7109595788;0.7876889582;3.725113083
88.61;443.07;265.84;1.71;0.7;1;1;5;3;60449600;1436.32666;0.7030226376;0.7861330458;3.717754913
88.66;443.28;265.97;1.71;0.8;0.7;1;5;3;60449600;2047.519165;0.701961005;0.7915724926;3.743478968
88.7;443.52;266.11;1.711;0.75;0.85;1;5;3;60449600;1643.855469;0.7008936883;0.7890385772;3.731495658
89.12;445.59;267.35;1.719;0.8;0.75;1;5;3;60449600;1834.548706;0.6911300857;0.7930814622;3.750615138
89.12;445.6;267.36;1.719;0.75;0.9;1;5;3;60449600;1412.697632;0.6910889507;0.7905056524;3.738433702
89.53;447.65;268.59;1.727;0.75;0.95;1;5;3;60449600;1324.883789;0.6816368445;0.7920417527;3.745698178
89.57;268.72;447.86;1.728;0.8;0.8;1;3;5;60449600;1641.609375;0.6806811055;0.7946803496;3.758176545
89.57;447.86;268.72;1.728;0.8;0.8;1;5;3;60449600;1632.946167;0.6806811055;0.7947026776;3.758282138
89.93;449.67;269.8;1.735;0.75;1;1;5;3;60449600;1364.188843;0.6725238952;0.7936462791;3.753286252
89.97;449.84;269.91;1.736;0.85;0.7;1;5;3;60449600;1719.242432;0.6716940895;0.798844511;3.777869562
90.02;450.11;270.07;1.737;0.8;0.85;1;5;3;60449600;1441.329956;0.6705207132;0.7964464783;3.766528863
90.46;452.29;271.38;1.745;0.85;0.75;1;5;3;60449600;1553.695313;0.6608428348;0.8007265215;3.786769905
90.47;452.33;271.4;1.745;0.8;0.9;1;5;3;60449600;1332.435913;0.6606645853;0.798279579;3.775197904
90.9;454.51;272.71;1.754;0.8;0.95;1;5;3;60449600;1309.292969;0.6512349192;0.8001552624;3.784068325
90.94;454.71;272.83;1.755;0.85;0.8;1;5;3;60449600;1394.367432;0.6503735095;0.8027209528;3.796201905
91.33;456.67;274;1.762;0.8;1;1;5;3;60449600;1315.418457;0.6420690535;0.8021312172;3.793412947
91.36;456.8;274.08;1.763;0.9;0.7;1;5;3;60449600;1418.27356;0.6414835272;0.8071033815;3.816927145
91.42;457.1;274.26;1.764;0.85;0.85;1;5;3;60449600;1355.968262;0.6402229876;0.8048175786;3.8061172
91.88;459.4;275.64;1.773;0.9;0.75;1;5;3;60449600;1367.32251;0.6306538753;0.8093688485;3.827640918
91.89;459.45;275.67;1.773;0.85;0.9;1;5;3;60449600;1328.211548;0.6304500047;0.8069766224;3.81632768
92.36;461.78;277.07;1.782;0.85;0.95;1;5;3;60449600;1335.130859;0.6209239797;0.8092687161;3.827167375
92.39;461.96;277.18;1.782;0.9;0.8;1;5;3;60449600;1419.869141;0.6202405724;0.8117208273;3.838763819
92.82;464.08;278.45;1.791;0.85;1;1;5;3;60449600;1412.962402;0.611736594;0.8116347249;3.838356627
92.83;464.16;278.5;1.791;0.95;0.7;1;5;3;60449600;1443.851074;0.6114578286;0.81638618;3.860827055
92.9;464.49;278.69;1.792;0.9;0.85;1;5;3;60449600;1372.30957;0.6101498501;0.8141652489;3.850323899
93.38;466.9;280.14;1.802;0.95;0.75;1;5;3;60449600;1779.109741;0.6007475876;0.8189840634;3.87311288
93.4;466.99;280.19;1.802;0.9;0.9;1;5;3;60449600;1397.409668;0.600399598;0.8167144369;3.862379436
93.89;469.46;281.67;1.811;0.9;0.95;1;5;3;60449600;1429.946167;0.5910065533;0.8193354721;3.874774751
93.92;469.61;281.77;1.812;0.95;0.8;1;5;3;60449600;1613.864746;0.5904155745;0.8217104275;3.886006313
94.17;282.5;282.5;1.67;0.4;0.4;1;3;3;60449600;7111.92;0.9763379821;0.7080484954;3.348479989
94.38;471.9;283.14;1.821;0.9;1;1;5;3;60449600;1479.676147;0.5818563716;0.822081652;3.887761896
94.38;471.92;283.15;1.821;1;0.7;1;5;3;60449600;1529.242065;0.58181139;0.8266428613;3.909332619
94.46;472.29;283.37;1.822;0.95;0.85;1;5;3;60449600;1455.104004;0.5804169076;0.8245257588;3.899320487
94.96;474.82;284.89;1.832;1;0.75;1;5;3;60449600;1525.397583;0.5712175521;0.8296354115;3.92348489
94.99;474.93;284.96;1.833;0.95;0.9;1;5;3;60449600;1297.710083;0.5707603805;0.8274382892;3.913094331
95.51;477.55;286.53;1.843;0.95;0.95;1;5;3;60449600;1144.511841;0.5614457795;0.8304417547;3.927298222
95.54;477.68;286.61;1.843;1;0.8;1;5;3;60449600;1533.247192;0.5609650348;0.8327446043;3.938188784
96.03;480.13;288.08;1.853;0.95;1;1;5;3;60449600;996.991333;0.552416705;0.8335279479;3.941893347
96.1;480.5;288.3;1.854;1;0.85;1;5;3;60449600;1547.32251;0.5511715886;0.835890784;3.953067595
96.66;483.3;289.98;1.865;1;0.9;1;5;3;60449600;1573.5802;0.5416456761;0.8391825269;3.968634799
97.21;486.06;291.64;1.875;1;0.95;1;5;3;60449600;1648.899902;0.5324799488;0.8425364703;3.984496159
