a_mm;b_mm;c_mm;t_mm;n1;n2;a_ratio;b_ratio;c_ratio;V_outer_mm3;max_vm;Packing eff
235.61;235.61;235.61;2.318;1;0.8;1;1;1;60449600;80.39;0.5610050653
229.86;229.86;229.86;2.261;1;0.6;1;1;1;60449600;92.83;0.6041713761
223.81;223.81;223.81;2.202;1;0.4;1;1;1;60449600;129.1;0.6544989425
225.25;225.25;225.25;2.216;0.8;1;1;1;1;60449600;205.942688;0.6420280057
216.32;216.32;216.32;2.128;0.8;0.6;1;1;1;60449600;363.6409912;0.7248684974
211.45;211.45;211.45;2.08;0.8;0.4;1;1;1;60449600;505.3387146;0.7761161922
212.62;212.62;212.62;2.092;0.6;1;1;1;1;60449600;633.7081299;0.7633689525
209.34;209.34;209.34;2.06;0.6;0.8;1;1;1;60449600;683.0874023;0.7998130677
202.12;202.12;202.12;1.988;0.6;0.4;1;1;1;60449600;1137.062622;0.8886348944
203.12;203.12;203.12;1.998;0.4;1;1;1;1;60449600;1611.882568;0.8755725239
200.88;200.88;200.88;1.976;0.4;0.8;1;1;1;60449600;1744.737793;0.9051902586
198.48;198.48;198.48;1.953;0.4;0.6;1;1;1;60449600;1867.73584;0.9384167778
163.36;163.36;490.09;2.068;1;0.8;1;1;3;60449600;365.96;0.5610232466
159.38;159.38;478.13;2.018;1;0.6;1;1;3;60449600;612.17;0.6041322538
155.18;155.18;465.54;1.964;1;0.4;1;1;3;60449600;1080.288696;0.6545193736
156.18;156.18;468.54;1.977;0.8;1;1;1;3;60449600;71.2780838;0.6420240371
149.99;149.99;449.96;1.899;0.8;0.6;1;1;3;60449600;1117.893311;0.7248495305
146.61;146.61;439.84;1.856;0.8;0.4;1;1;3;60449600;1802.233887;0.7761147951
147.42;147.42;442.26;1.866;0.6;1;1;1;3;60449600;226.95;0.7634121768
145.15;145.15;435.44;1.837;0.6;0.8;1;1;3;60449600;836.8668823;0.7998139185
140.14;140.14;420.42;1.774;0.6;0.4;1;1;3;60449600;2887.665771;0.8886707888
140.84;140.84;422.51;1.783;0.4;1;1;1;3;60449600;681.79;0.8755046215
139.28;139.28;417.85;1.763;0.4;0.8;1;1;3;60449600;1053.072632;0.9052143627
137.62;137.62;412.85;1.742;0.4;0.6;1;1;3;60449600;2218.527832;0.9384125044
241.09;241.09;241.09;2.372;1;1;1;1;1;60449600;54.26379776;0.5236123585
167.16;167.16;501.49;2.116;1;1;1;1;3;60449600;68.36826324;0.5236266871
140.99;140.99;704.96;1.894;1;1;1;1;5;60449600;66.67876434;0.5236083036
167.16;501.49;167.16;2.116;1;1;1;3;1;60449600;69.4113;0.5236266871
115.91;347.72;347.72;2.056;1;1;1;3;3;60449600;675.91;0.5235601423
97.76;293.27;488.79;1.886;1;1;1;3;5;60449600;1712.861;0.5235969912
140.99;704.96;140.99;1.894;1;1;1;5;1;60449600;70.536;0.5236083036
97.76;488.79;293.27;1.886;1;1;1;5;3;60449600;1769.714;0.5235969912
82.45;412.26;412.26;1.744;1;1;1;5;5;60449600;3021.505;0.5236163838
347.72;347.72;115.91;2.056;1;1;3;3;1;60449600;676.5844727;0.5235601423
241.09;241.09;241.09;2.372;1;1;3;3;3;60449600;54.26379776;0.5236123585
203.35;203.35;338.91;2.309;1;1;3;3;5;60449600;66.97772217;0.5235700544
293.27;488.79;97.76;1.886;1;1;3;5;1;60449600;1715.187378;0.5235969912
203.35;338.91;203.35;2.309;1;1;3;5;3;60449600;66.55012;0.5235700544
171.51;285.85;285.85;2.302;1;1;3;5;5;60449600;294.7391968;0.52357682
412.26;412.26;82.45;1.744;1;1;5;5;1;60449600;2759.616699;0.5236163838
285.85;285.85;171.51;2.302;1;1;5;5;3;60449600;108.8723145;0.52357682
241.09;241.09;241.09;2.372;1;1;5;5;5;60449600;54.26379776;0.5236123585
220.91;220.91;220.91;2.173;0.8;0.8;1;1;1;60449600;220.2859955;0.6806189173
153.17;153.17;459.5;1.939;0.8;0.8;1;1;3;60449600;592.4876709;0.6806363685
129.19;129.19;645.93;1.735;0.8;0.8;1;1;5;60449600;923.609375;0.6806249278
