Element,IntegrationPoint,X,Y,S11,S22,S33,S12
405,1,151.56184,0.2484494,-0.032509066,2.8642359,-0.75495714,-0.0105092535
406,1,151.55821,0.74533343,-0.032203853,2.8640516,-0.75459146,-0.03154798
407,1,151.55096,1.2421793,-0.0315976,2.8637009,-0.75385547,-0.052585486
408,1,151.54008,1.7389585,-0.030695679,2.8631887,-0.75274956,-0.0736036
409,1,151.52557,2.2356453,-0.02947229,2.8624732,-0.7512796,-0.09460504
410,1,151.50745,2.732212,-0.027946772,2.861587,-0.7494413,-0.115606874
411,1,151.4857,3.2286336,-0.026119055,2.8605328,-0.74723446,-0.13658999
412,1,151.46034,3.7248855,-0.024000071,2.859303,-0.7446658,-0.15753302
413,1,151.43135,4.2209363,-0.02157765,2.8578937,-0.7417334,-0.17846017
414,1,151.39876,4.7167664,-0.01885373,2.8563213,-0.7384329,-0.19936013
415,1,151.36258,5.2123437,-0.015823724,2.8545532,-0.7347748,-0.22022496
416,1,151.32278,5.707647,-0.012498781,2.8526275,-0.7307511,-0.2410557
417,1,151.27939,6.202647,-0.008873371,2.8505368,-0.7263636,-0.26186213
418,1,151.2324,6.6973195,-0.004934236,2.8482356,-0.7216243,-0.28260654
419,1,151.18185,7.191639,-0.00072287495,2.8457894,-0.7165265,-0.303321
420,1,151.12772,7.685579,0.003786643,2.8431907,-0.71106535,-0.32399413
421,1,151.07002,8.179116,0.008599815,2.8403828,-0.7052595,-0.34457174
422,1,151.00876,8.672225,0.013709261,2.8374147,-0.69909656,-0.36513072
423,1,150.94395,9.164879,0.019113967,2.834277,-0.69258183,-0.3856371
424,1,150.8756,9.657052,0.024791174,2.8309708,-0.68572444,-0.40606526
425,1,150.80371,10.148724,0.030761441,2.8274915,-0.6785208,-0.42644626
426,1,150.7283,10.639868,0.03701628,2.8238451,-0.67097354,-0.4467369
427,1,150.64938,11.130459,0.04355643,2.820046,-0.6630798,-0.46696103
428,1,150.56697,11.620474,0.05039881,2.8160367,-0.6548553,-0.48712507
429,1,150.48105,12.109889,0.05750634,2.8118935,-0.6462891,-0.5072105
430,1,150.39166,12.59868,0.06488514,2.807607,-0.63738436,-0.52721596
431,1,150.2988,13.086824,0.07256246,2.8031063,-0.62815857,-0.547123
432,1,150.20248,13.574298,0.080514215,2.79846,-0.6185988,-0.56695807
433,1,150.10272,14.06108,0.08873026,2.7936664,-0.6087119,-0.5867076
434,1,149.99954,14.547146,0.09721292,2.7886982,-0.5985086,-0.6063481
435,1,149.89293,15.0324745,0.10596851,2.7835584,-0.5879886,-0.625922
436,1,149.78293,15.517042,0.114994004,2.778273,-0.5771468,-0.64537424
437,1,149.66954,16.00083,0.12426802,2.7728338,-0.56599605,-0.6647325
438,1,149.55276,16.483812,0.13383612,2.7672255,-0.55452895,-0.6839898
439,1,149.43263,16.965971,0.1436474,2.7614522,-0.5427643,-0.7031285
440,1,149.30916,17.447285,0.15371644,2.7555296,-0.53069484,-0.7221915
441,1,149.18236,17.927734,0.1640224,2.7494876,-0.51832056,-0.74112
442,1,149.05225,18.407293,0.17459318,2.7432551,-0.5056592,-0.7599272
443,1,148.91884,18.885946,0.18542723,2.7368743,-0.4927001,-0.77862316
444,1,148.78215,19.363676,0.19649701,2.7303553,-0.4794525,-0.7972156
445,1,148.6422,19.840456,0.20781295,2.723676,-0.4659236,-0.81567174
446,1,148.499,20.316273,0.2193562,2.716864,-0.45211366,-0.8340032
447,1,148.35255,20.791105,0.23114829,2.7098787,-0.43803266,-0.8522092
448,1,148.20291,21.264936,0.24315993,2.702763,-0.42367926,-0.8702933
449,1,148.05008,21.737745,0.25540864,2.695516,-0.40905127,-0.8882472
450,1,147.89406,22.209517,0.26788613,2.6881099,-0.3941644,-0.9060452
451,1,147.7349,22.680231,0.28059676,2.680572,-0.3790115,-0.9237214
452,1,147.57257,23.149872,0.29352728,2.6729033,-0.36360034,-0.9412685
453,1,147.40714,23.618422,0.30667832,2.6650767,-0.34794334,-0.95866513
454,1,147.2386,24.085865,0.32003388,2.6571372,-0.3320344,-0.9759243
455,1,147.06697,24.552183,0.33360806,2.6490667,-0.3158786,-0.9930396
456,1,146.89229,25.017365,0.3473945,2.6408226,-0.29949614,-1.0100023
457,1,146.71455,25.48139,0.3613843,2.632496,-0.28286278,-1.0268292
458,1,146.5338,25.944244,0.37556493,2.6240263,-0.26600727,-1.0434892
459,1,146.35002,26.405912,0.3899613,2.615414,-0.24892457,-1.0600113
460,1,146.16327,26.86638,0.4045507,2.6066914,-0.23161511,-1.0763707
461,1,145.97356,27.325636,0.41931835,2.5978427,-0.2140932,-1.0925701
462,1,145.78088,27.78366,0.4342849,2.5888867,-0.1963491,-1.108618
463,1,145.5853,28.240444,0.44943213,2.5797758,-0.17840911,-1.1245016
464,1,145.38678,28.695972,0.46476388,2.5705655,-0.16025679,-1.1402464
465,1,145.1854,29.15023,0.48026,2.5612657,-0.14189948,-1.1558149
466,1,144.98114,29.603207,0.49594104,2.5518267,-0.12335076,-1.1711932
467,1,144.77405,30.05489,0.5118054,2.5422537,-0.10461346,-1.1864392
468,1,144.56412,30.505266,0.52783114,2.5326025,-0.08567967,-1.2015173
469,1,144.35138,30.954325,0.54398996,2.522848,-0.066571675,-1.2164053
470,1,144.13586,31.402052,0.5603398,2.5129564,-0.047284838,-1.2311597
471,1,143.91759,31.84844,0.57683605,2.5029857,-0.02781839,-1.2457118
472,1,143.69656,32.293476,0.593477,2.4929128,-0.008184776,-1.2601086
473,1,143.47281,32.73715,0.6102985,2.4827204,0.011618593,-1.2743282
474,1,143.24637,33.17945,0.62723386,2.4724422,0.031576626,-1.2883648
475,1,143.01723,33.62037,0.6443268,2.4620774,0.051700223,-1.3022524
476,1,142.78545,34.05989,0.6615437,2.4516077,0.071967974,-1.3159394
477,1,142.55103,34.498016,0.6789008,2.4410474,0.092386454,-1.3294601
478,1,142.31396,34.934727,0.6963945,2.430408,0.11295458,-1.3428093
479,1,142.07433,35.37002,0.7140169,2.4196413,0.13364953,-1.3559718
480,1,141.8321,35.803883,0.7317571,2.4088252,0.15449037,-1.3689547
481,1,141.58733,36.23631,0.7496066,2.3979242,0.17545848,-1.3817791
482,1,141.34001,36.667294,0.76759666,2.3869238,0.1965559,-1.394401
483,1,141.09018,37.09682,0.78567475,2.3758683,0.21777624,-1.4068353
484,1,140.83786,37.52489,0.80388856,2.3647134,0.23911685,-1.4191188
485,1,140.58307,37.951492,0.8222013,2.3534942,0.26057357,-1.4311997
486,1,140.32582,38.376617,0.8406032,2.3421884,0.28213203,-1.4430884
487,1,140.06615,38.800262,0.8591164,2.3308167,0.30380315,-1.4548317
488,1,139.80405,39.22242,0.8777181,2.3193703,0.3255726,-1.4663733
489,1,139.53957,39.643085,0.8964043,2.307865,0.34744108,-1.477723
490,1,139.27272,40.06225,0.9151948,2.2963037,0.36941278,-1.4889027
491,1,139.00351,40.479904,0.93406576,2.284654,0.39146504,-1.4998834
492,1,138.73198,40.896053,0.9530256,2.2729588,0.41361207,-1.5107058
493,1,138.45813,41.310684,0.9720593,2.2612152,0.43584418,-1.521335
494,1,138.182,41.723793,0.9911671,2.2493885,0.45814642,-1.5317693
495,1,137.9036,42.135372,1.0103556,2.2375202,0.4805319,-1.5420346
496,1,137.62294,42.545425,1.029599,2.2256093,0.50298804,-1.5521201
497,1,137.34006,42.953938,1.0489155,2.2136316,0.5255097,-1.5620085
498,1,137.05496,43.360916,1.0682913,2.201607,0.5480958,-1.5717219
499,1,136.76767,43.76635,1.0877346,2.189541,0.57074785,-1.5812571
500,1,136.47821,44.17023,1.1072187,2.177424,0.5934502,-1.5905917
501,1,136.1866,44.572567,1.1267713,2.1652422,0.6162045,-1.5997695
502,1,135.89285,44.973347,1.146371,2.153047,0.63901806,-1.6087631
503,1,135.597,45.372566,1.1659976,2.1408129,0.6618719,-1.6175532
504,1,135.29904,45.770226,1.1857007,2.1285174,0.68477297,-1.6261832
505,1,134.99902,46.16632,1.2054358,2.1162012,0.70771635,-1.6346215
506,1,134.69693,46.560852,1.2251966,2.103854,0.73069376,-1.6428846
507,1,134.3928,46.953815,1.245011,2.09147,0.75371003,-1.6509744
508,1,134.08667,47.345207,1.2648402,2.0790498,0.77674913,-1.6588677
509,1,133.77853,47.735023,1.2847115,2.066605,0.79982144,-1.6666042
510,1,133.4684,48.12327,1.304598,2.0541434,0.82291794,-1.6741502
511,1,133.15633,48.509933,1.3245146,2.0416389,0.8460319,-1.6815283
512,1,132.84229,48.895023,1.3444661,2.0291193,0.8691719,-1.6887197
513,1,132.52634,49.27853,1.3644158,2.0165706,0.89231795,-1.6957333
514,1,132.20845,49.660458,1.3844092,2.0039885,0.91548145,-1.702591
515,1,131.88869,50.0408,1.4043797,1.9914451,0.938662,-1.7092558
516,1,131.56706,50.41956,1.4243759,1.9788325,0.9618367,-1.7157551
517,1,131.24356,50.796734,1.4444079,1.9662099,0.9850267,-1.7220799
518,1,130.91823,51.172325,1.46441,1.9535878,1.0082108,-1.7282343
519,1,130.59108,51.54633,1.484441,1.940944,1.0313991,-1.7342232
520,1,130.26212,51.918747,1.5044513,1.9283217,1.054587,-1.7400333
521,1,129.93137,52.289577,1.5244775,1.9156389,1.0777568,-1.7456714
522,1,129.59885,52.65882,1.544514,1.9029576,1.1009253,-1.7511572
