a_mm,b_mm,c_mm,t_mm,n1,n2,Q_total_W,h_equivalent
235.61,235.61,235.61,2.318,1,0.8,0.668904551011015,2.84849651990721e-09
229.86,229.86,229.86,2.261,1,0.6,0.673600864859876,2.84638682914974e-09
223.81,223.81,223.81,2.202,1,0.4,0.677979365559373,2.84419581358216e-09
225.25,225.25,225.25,2.216,0.8,1,0.633978074887885,2.8496572384632e-09
216.32,216.32,216.32,2.128,0.8,0.6,0.652498270893647,2.84475791464142e-09
211.45,211.45,211.45,2,0.8,0.4,0.66153110070683,2.84224243705367e-09
212.62,212.62,212.62,2.092,0.6,1,0.618379365229691,2.84762512661715e-09
209.34,209.34,209.34,2,0.6,0.8,0.632248666956886,2.844864279432e-09
202.12,202.12,202.12,1.988,0.6,0.4,0.660333637893303,2.83935307725354e-09
203.12,203.12,203.12,1.998,0.4,1,0.616337361025056,2.84465544509873e-09
200.88,200.88,200.88,1.976,0.4,0.8,0.635382887868076,2.8416468239777e-09
198.48,198.48,198.48,1.953,0.4,0.6,0.654896574320433,2.8386966931277e-09
163.36,163.36,490.09,2.068,1,0.8,0.791143008233194,2.87730945309913e-09
159.38,159.38,478.13,2.018,1,0.6,0.792973998282363,2.8760383102724e-09
155.18,155.18,465.54,1.964,1,0.4,0.797450109244345,2.87436163246509e-09
156.18,156.18,468.54,1.977,0.8,1,0.755551205178087,2.87960709237556e-09
149.99,149.99,449.96,1.899,0.8,0.6,0.768500202420871,2.87618540430307e-09
146.61,146.61,439.84,1.856,0.8,0.4,0.778521903496436,2.87394148587134e-09
147.42,147.42,442.26,1.866,0.6,1,0.733413614135048,2.87981850352026e-09
145.15,145.15,435.44,1.837,0.6,0.8,0.74468338895341,2.87761238340704e-09
140.14,140.14,420.42,1.774,0.6,0.4,0.773866624043812,2.87233810091113e-09
140.84,140.84,422.51,1.783,0.4,1,0.724562639358685,2.87881191075942e-09
139.28,139.28,417.85,1.763,0.4,0.8,0.741977514630089,2.87596384597004e-09
137.62,137.62,412.85,1.742,0.4,0.6,0.761708861743808,2.87290273303924e-09
