a_mm;b_mm;c_mm;t_mm;n1;n2;a_ratio;b_ratio;c_ratio;V_outer_mm3
66.99;334.94;334.94;1.417;0.4;0.4;1;5;5;60449600
70.4;352;352;1.489;0.6;0.6;1;5;5;60449600
75.55;377.74;377.74;1.598;0.8;0.8;1;5;5;60449600
79.42;238.27;397.12;1.532;0.4;0.4;1;3;5;60449600
79.42;397.12;238.27;1.532;0.4;0.4;1;5;3;60449600
82.45;412.26;412.26;1.744;1;1;1;5;5;60449600
83.47;250.41;417.34;1.61;0.6;0.6;1;3;5;60449600
83.47;417.34;250.41;1.61;0.6;0.6;1;5;3;60449600
86.27;431.33;258.8;1.664;0.7;0.7;1;5;3;60449600
86.67;433.36;260.02;1.672;0.7;0.75;1;5;3;60449600
87.07;435.36;261.21;1.68;0.7;0.8;1;5;3;60449600
87.42;437.11;262.27;1.687;0.75;0.7;1;5;3;60449600
87.47;437.33;262.4;1.687;0.7;0.85;1;5;3;60449600
87.85;439.27;263.56;1.695;0.7;0.9;1;5;3;60449600
87.86;439.28;263.57;1.695;0.75;0.75;1;5;3;60449600
88.24;441.18;264.71;1.702;0.7;0.95;1;5;3;60449600
88.28;441.41;264.85;1.703;0.75;0.8;1;5;3;60449600
88.61;443.07;265.84;1.71;0.7;1;1;5;3;60449600
88.66;443.28;265.97;1.71;0.8;0.7;1;5;3;60449600
88.7;443.52;266.11;1.711;0.75;0.85;1;5;3;60449600
89.12;445.59;267.35;1.719;0.8;0.75;1;5;3;60449600
89.12;445.6;267.36;1.719;0.75;0.9;1;5;3;60449600
89.53;447.65;268.59;1.727;0.75;0.95;1;5;3;60449600
89.57;268.72;447.86;1.728;0.8;0.8;1;3;5;60449600
89.57;447.86;268.72;1.728;0.8;0.8;1;5;3;60449600
89.93;449.67;269.8;1.735;0.75;1;1;5;3;60449600
89.97;449.84;269.91;1.736;0.85;0.7;1;5;3;60449600
90.02;450.11;270.07;1.737;0.8;0.85;1;5;3;60449600
90.46;452.29;271.38;1.745;0.85;0.75;1;5;3;60449600
90.47;452.33;271.4;1.745;0.8;0.9;1;5;3;60449600
90.9;454.51;272.71;1.754;0.8;0.95;1;5;3;60449600
90.94;454.71;272.83;1.755;0.85;0.8;1;5;3;60449600
