a_mm,b_mm,c_mm,t_mm,n1,n2,a_ratio,b_ratio,c_ratio,V_outer_mm3
235.61,235.61,235.61,2.318,1,0.8,1,1,1,60449600
229.86,229.86,229.86,2.261,1,0.6,1,1,1,60449600
223.81,223.81,223.81,2.202,1,0.4,1,1,1,60449600
225.25,225.25,225.25,2.216,0.8,1,1,1,1,60449600
216.32,216.32,216.32,2.128,0.8,0.6,1,1,1,60449600
211.45,211.45,211.45,2.08,0.8,0.4,1,1,1,60449600
212.62,212.62,212.62,2.092,0.6,1,1,1,1,60449600
209.34,209.34,209.34,2.06,0.6,0.8,1,1,1,60449600
202.12,202.12,202.12,1.988,0.6,0.4,1,1,1,60449600
203.12,203.12,203.12,1.998,0.4,1,1,1,1,60449600
200.88,200.88,200.88,1.976,0.4,0.8,1,1,1,60449600
198.48,198.48,198.48,1.953,0.4,0.6,1,1,1,60449600
163.36,163.36,490.09,2.068,1,0.8,1,1,3,60449600
159.38,159.38,478.13,2.018,1,0.6,1,1,3,60449600
155.18,155.18,465.54,1.964,1,0.4,1,1,3,60449600
156.18,156.18,468.54,1.977,0.8,1,1,1,3,60449600
149.99,149.99,449.96,1.899,0.8,0.6,1,1,3,60449600
146.61,146.61,439.84,1.856,0.8,0.4,1,1,3,60449600
147.42,147.42,442.26,1.866,0.6,1,1,1,3,60449600
145.15,145.15,435.44,1.837,0.6,0.8,1,1,3,60449600
140.14,140.14,420.42,1.774,0.6,0.4,1,1,3,60449600
140.84,140.84,422.51,1.783,0.4,1,1,1,3,60449600
139.28,139.28,417.85,1.763,0.4,0.8,1,1,3,60449600
137.62,137.62,412.85,1.742,0.4,0.6,1,1,3,60449600
